network,heuristic,removals,static,threshold,rem_num,network_size,critical_threshold,dismantle_time
net2-BC_10_1,BruteForce,"[2, 0, 1]",TRUE,0.571429,3,7,0.428571,0
net2-BC_13_1,BruteForce,[2],TRUE,1,1,4,0.25,0
net2-BC_3_2,BruteForce,"[4, 5, 1]",TRUE,0.666667,3,6,0.5,0
net2-BC_4_2,BruteForce,"[4, 1]",TRUE,0.8,2,5,0.4,0
net2-BC_6_2,BruteForce,[3],TRUE,1,1,4,0.25,0
net2-BC_5_2,BruteForce,"[4, 1]",TRUE,0.8,2,5,0.4,0
net2-BC_12_1,BruteForce,"[2, 0]",TRUE,0.8,2,5,0.4,0
net2-DC_15_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net2-DC_14_1,BruteForce,"[4, 1]",TRUE,0.8,2,5,0.4,0
net2-BC_9_1,BruteForce,"[2, 1, 3, 0]",TRUE,0.5,4,8,0.5,0
net2-DC_1_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-DC_13_1,BruteForce,"[4, 5, 1]",TRUE,0.666667,3,6,0.5,0
net2-DC_12_1,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-DC_11_1,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-BC_1_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-DC_2_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-BC_11_1,BruteForce,"[2, 0, 1]",TRUE,0.666667,3,6,0.5,0
net2-BC_2_2,BruteForce,"[5, 0, 2, 4]",TRUE,0.571429,4,7,0.571429,0
net2-DC_8_1,BruteForce,[0],TRUE,1,1,4,0.25,0
net2-DC_7_1,BruteForce,[0],TRUE,0.8,1,5,0.2,0
net2-DC_6_1,BruteForce,"[0, 1]",TRUE,0.666667,2,6,0.333333,0
net2-Opt_10_1,BruteForce,"[4, 1]",TRUE,0.8,2,5,0.4,0
net2-Opt_11_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net2-DC_7_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-DC_5_1,BruteForce,"[1, 2, 0]",TRUE,0.571429,3,7,0.428571,0
net2-DC_5_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-Opt_6_1,BruteForce,"[0, 1]",TRUE,0.666667,2,6,0.333333,0
net2-DC_8_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-Opt_1_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-Opt_7_1,BruteForce,[0],TRUE,0.8,1,5,0.2,0
net2-Opt_6_2,BruteForce,"[0, 5, 2, 4]",TRUE,0.5,4,8,0.5,0
net2-DC_3_1,BruteForce,"[1, 2, 4, 3, 0]",TRUE,0.444444,5,9,0.555556,0
