network,heuristic,removals,static,threshold,rem_num,network_size,critical_threshold,dismantle_time
net2-BC_1_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-BC_5_1,BruteForce,[2],TRUE,1,1,10,0.1,0
net2-BC_6_1,BruteForce,[2],TRUE,1,1,10,0.1,0
net2-BC_3_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-BC_4_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-BC_7_1,BruteForce,[2],TRUE,1,1,10,0.1,0
net2-Opt_2_1,BruteForce,[1],TRUE,1,1,10,0.1,0
net2-DC_2_1,BruteForce,[1],TRUE,1,1,10,0.1,0
net2-DC_1_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-Rand_6_1,BruteForce,[0],TRUE,1,1,10,0.1,0
net2-Rand_4_1,BruteForce,"[3, 4]",TRUE,0.909091,2,11,0.181818,0
net2-Rand_5_1,BruteForce,"[3, 4]",TRUE,0.909091,2,11,0.181818,0
net2-BC_2_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-Opt_1_1,BruteForce,"[2, 1]",TRUE,0.909091,2,11,0.181818,0
net2-Rand_2_1,BruteForce,"[0, 3]",TRUE,0.555556,2,18,0.111111,0
net2-Rand_3_1,BruteForce,"[0, 3]",TRUE,0.588235,2,17,0.117647,0
net2-BC_0_1,BruteForce,"[0, 3, 4]",TRUE,0.5,3,20,0.15,0
net2-Rand_0_1,BruteForce,"[0, 3, 4]",TRUE,0.5,3,20,0.15,0
net2-Rand_1_1,BruteForce,"[0, 3, 4]",TRUE,0.526316,3,19,0.157895,0
net2-Opt_0_1,BruteForce,"[0, 3, 4]",TRUE,0.5,3,20,0.15,0
net2-DC_0_1,BruteForce,"[0, 3, 4]",TRUE,0.5,3,20,0.15,0
